N.S. Engineering & Geo-Technical Services Pvt. Ltd. ,,,,,,,,,,,,,,,,,
"Dhobighat, Lalitpur, Nepal",,,,,,,,,,,,,,,,,
Vat No. 603565542,,,,,,,,,,,,,,,,,
"Equipments, Macine & Jinsi Purchase :-                                     ",,,,,,,,,,,,,,,,,
S. No.,Date,Department,Bill No.,Pan No.,Description,Parti's Name,Quantity,Unit, Rate , Taxable Amount , Vat 13% , Amount with Vat , Year in Use  ,Depreciation in %, Depreciation , Depreciated Value , Remarks 
392,No Date,Cement and Concrete,,,Standard Load,No Bill,,,,,,,,,, -   ,
393,No Date,Cement and Concrete,,,Vicat Apparatus,No Bill,,,,,,,,,, -   ,
394,No Date,Cement and Concrete,,,Stop Watch,No Bill,,,,,,,,,, -   ,
395,No Date,Cement and Concrete,,,Le Chatelier Flask,No Bill,,,,,,,,,, -   ,
396,No Date,Cement and Concrete,,,Measuring  Cylinder (100ml),No Bill,,,,,,,,,, -   ,
397,No Date,Cement and Concrete,,,Blaines Air Apparatus,No Bill,,,,,,,,,, -   ,
398,No Date,Cement and Concrete,,,Standard Cement,No Bill,,,,,,,,,, -   ,
399,No Date,Cement and Concrete,,, Trowel,No Bill,,,,,,,,,, -   ,
400,No Date,Cement and Concrete,,,Tamping Rod,No Bill,,,,,,,,,, -   ,
401,No Date,Cement and Concrete,,, Vibration  Cube Mould,No Bill,,,,,,,,,, -   ,
402,No Date,Cement and Concrete,,,Vibrator,No Bill,,,,,,,,,, -   ,
403,No Date,Cement and Concrete,,,Mould (7cm),No Bill,,,,,,,,,, -   ,
404,No Date,Cement and Concrete,,,Mould (5 cm),No Bill,,,,,,,,,, -   ,
405,No Date,Cement and Concrete,,, Auto Clave ,No Bill,,,,,,,,,, -   ,
406,No Date,Cement and Concrete,,,Flow Table ,No Bill,,,,,,,,,, -   ,
407,No Date,Cement and Concrete,,,Pressure Pump,No Bill,,,,,,,,,, -   ,
408,No Date,Cement and Concrete,,,Microscope,No Bill,,,,,,,,,, -   ,
409,No Date,Cement and Concrete,,,Moisture Content Apparatus ,No Bill,,,,,,,,,, -   ,
410,No Date,Cement and Concrete,,,Density meter,No Bill,,,,,,,,,, -   ,
411,No Date,Cement and Concrete,,, Curing Tank,No Bill,,,,,,,,,, -   ,
412,No Date,Non Destructive,,,Schmidth Hammer,No Bill,,,,,,,,,, -   ,
413,No Date,Non Destructive,,,UPV Machine,No Bill,,,,,,,,,, -   ,
,No Date,Soil and Aggregate,,,Weighing Balance -15kg,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Weighing Balance -3kg,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Weighing Balance -600gm,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,plastic Measuring Cylinder -1000ml,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Pycnometer,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Density Bottle,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,length Guage,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Liquid limit device,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Sprit level,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,AIV Testing Machine,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Sample Excluder Machine,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Consolidation testing machine,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Seive set (4.75mm-0.75mm),No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Seive set (80mm-6.3mm),No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,UD Barrel,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Wall Mounting type Distilled Water,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Big can,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Small can,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Sodium hexametaphosphate ,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Hammer,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Hydrometer scale,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Sieve shaker,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Proctor mould -Small,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,CBR mould,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Beam mould,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Standard penetrometer (For Cement test),No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Plastic tray,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,UD barrel for triaxial,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Digital Soil Compactor,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Sample excluder for triaxial,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Measuring Cylinder -Glass,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Proctor mould -Big,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Wall Fan,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,ACV Jug,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,DCPT Set -For Field,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,CBR Hammer,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Proctor Hammer,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Hexo Blade Cutter with frame,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Plastic Crete -Big,No Bill,,,,,,,,,,,
,No Date,Soil and Aggregate,,,Metal Rack -Big & Small,No Bill,,,,,,,,,,,
,,Rock,,,Point Load Test Machine ,No Bill,,,,,,,,,,,
,,Rock,,,Slake Durability Testing Machine -Analog,No Bill,,,,,,,,,,,
,,Rock,,,Proctor Compactor Machine,No Bill,,,,,,,,,,,
,,Rock,,,Direct Shear Mould -Rectangular,No Bill,,,,,,,,,,,
,,Rock,,,Direct Shear Mould -Circular,No Bill,,,,,,,,,,,
,,Rock,,,Pressure Gauge,No Bill,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Total :,,,,," 49,690,086.34 "," 6,138,193.31 "," 55,828,279.65 ",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,13%," 6,459,711.22 ",,,,,,,
